ID;Name;Category;Area;Length;Species;Impact;Regional
002-1068-R;Nevla, tilløpsbekker vestsiden;River;NA;11.82;Phoxinus phoxinus;SE;TRUE
002-1070-R;Nevla;River;NA;9.33;Phoxinus phoxinus;SE;TRUE
002-1076-R;Mesnaelva fra Kroken og ned;River;NA;4.49;Esox lucius;SE;TRUE
002-1076-R;Mesnaelva fra Kroken og ned;River;NA;4.49;Phoxinus phoxinus;SE;TRUE
002-1124-R;Augga oppstrøms;River;NA;21.81;Phoxinus phoxinus;SE;TRUE
002-1126-R;Augga, sidebekker;River;NA;132.69;Phoxinus phoxinus;SE;TRUE
002-1130-R;Sidebekker Rinda vestsiden;River;NA;86.25;Phoxinus phoxinus;SE;TRUE
002-1132-R;Rinda;River;NA;13.98;Phoxinus phoxinus;SE;TRUE
002-1133-R;Sidebekker Rinda østsiden;River;NA;53.69;Phoxinus phoxinus;SE;TRUE
002-1146-R;Skolla;River;NA;72.65;Phoxinus phoxinus;SE;TRUE
002-114-L;Aursunden;Lake;46.402;NA;Phoxinus phoxinus;SE;TRUE
002-1160-R;Rolla;River;NA;40.83;Phoxinus phoxinus;SE;TRUE
002-116-L;Harestuvatnet;Lake;2.059;NA;Esox lucius;SE;TRUE
002-116-L;Harestuvatnet;Lake;2.059;NA;Elodea canadensis;SE;FALSE
002-1177-R;Hunntjønnsbekken;River;NA;8.75;Phoxinus phoxinus;SE;TRUE
002-1178-R;Sidebekker nedre del Moksa;River;NA;4.78;Phoxinus phoxinus;SE;TRUE
002-117-L;Mylla;Lake;1.737;NA;Esox lucius;SE;TRUE
002-117-L;Mylla;Lake;1.737;NA;Elodea canadensis;SE;FALSE
002-117-L;Mylla;Lake;1.737;NA;Phoxinus phoxinus;SE;TRUE
002-1180-R;Kvamsbekken nedre del;River;NA;NA;Phoxinus phoxinus;SE;TRUE
002-118-1-L;Mjøsa;Lake;366.307;NA;Elodea canadensis;SE;FALSE
002-1187-R;Bekkefelt mellom Tretten og Granrudmoen, øvre del;River;NA;NA;Phoxinus phoxinus;SE;TRUE
002-1189-R;Oppstrøms nedre Moksjøen;River;NA;34.71;Phoxinus phoxinus;SE;TRUE
002-119-2-L;Lesjaskogsvatnet, Lågen;Lake;2.336;NA;Phoxinus phoxinus;SE;TRUE
002-1199-R;Roåkerelva;River;NA;12.71;Phoxinus phoxinus;SE;TRUE
002-1205-R;Musa;River;NA;17.46;Phoxinus phoxinus;SE;TRUE
002-126-L;Atnsjøen;Lake;5.005;NA;Phoxinus phoxinus;SE;TRUE
002-127-L;Feragen;Lake;15.732;NA;Phoxinus phoxinus;SE;TRUE
002-128-L;Bolagen;Lake;2.539;NA;Phoxinus phoxinus;SE;TRUE
002-129-L;Rien;Lake;15.48;NA;Phoxinus phoxinus;SE;TRUE
002-130-L;Riasten;Lake;5.075;NA;Phoxinus phoxinus;SE;TRUE
002-138-L;Børtervatna;Lake;2.634;NA;Phoxinus phoxinus;SE;TRUE
002-139-L;Elvåga;Lake;1.353;NA;Phoxinus phoxinus;SE;TRUE
002-143-L;Einavatnet;Lake;13.818;NA;Esox lucius;SE;TRUE
002-143-L;Einavatnet;Lake;13.818;NA;Elodea canadensis;SE;FALSE
002-143-L;Einavatnet;Lake;13.818;NA;Phoxinus phoxinus;SE;TRUE
002-1441-R;Ongsjøen øvre, sidevassdrag;River;NA;7.15;Phoxinus phoxinus;SE;TRUE
002-1449-R;Bølbekken;River;NA;7.87;Phoxinus phoxinus;SE;TRUE
002-1459-R;Breia og Svæla;River;NA;69.55;Phoxinus phoxinus;SE;TRUE
002-145-L;Vinstri;Lake;28.187;NA;Phoxinus phoxinus;SE;TRUE
002-1464-R;Nedre del Tromsa;River;NA;2.34;Phoxinus phoxinus;SE;TRUE
002-146-L;Bygdin;Lake;40.034;NA;Phoxinus phoxinus;SE;TRUE
002-1473-R;Ulvåa;River;NA;217.51;Esox lucius;SE;TRUE
002-149-1-L;Vågåvatnet;Lake;14.047;NA;Phoxinus phoxinus;SE;TRUE
002-149-2-L;Vågåvatnet-Skim;Lake;14.047;NA;Phoxinus phoxinus;SE;TRUE
002-1538-R;Tilløpsbekker Tisjøen;River;NA;14.19;Phoxinus phoxinus;SE;TRUE
002-154-L;Vingersjøen;Lake;2.615;NA;Aphanomyces astaci;SE;FALSE
002-1566-R;Tilløpsbekker til Hurdalssjøen øst;River;NA;49.09;Phoxinus phoxinus;SE;TRUE
002-1569-R;Svartungselva;River;NA;4.85;Phoxinus phoxinus;SE;TRUE
002-166-L;søndre Imssjøen;Lake;0.504;NA;Phoxinus phoxinus;SE;TRUE
002-167-L;nordre Imssjøen;Lake;0.859;NA;Phoxinus phoxinus;SE;TRUE
002-168-L;Avsjøen;Lake;1.059;NA;Phoxinus phoxinus;SE;TRUE
002-169-L;Vålåsjøen;Lake;1.259;NA;Phoxinus phoxinus;SE;TRUE
002-170-L;Savalen;Lake;15.291;NA;Phoxinus phoxinus;SE;TRUE
002-1711-R;Våsjøbekken;River;NA;1.08;Phoxinus phoxinus;SE;TRUE
002-1718-R;Tilløpsvassdrag Store Tallsjøen;River;NA;37.56;Phoxinus phoxinus;SE;TRUE
002-172-L;Store Tallsjøen;Lake;1.513;NA;Phoxinus phoxinus;SE;TRUE
002-1735-R;Hegga;River;NA;6.73;Phoxinus phoxinus;SE;TRUE
002-1736-R;Hegga bekkefelt;River;NA;36.51;Phoxinus phoxinus;SE;TRUE
002-173-L;Sætersjøen;Lake;2.007;NA;Phoxinus phoxinus;SE;TRUE
002-1755-R;Elvestrekning mellom  Vinsteren og Sandvatnet;River;NA;1.72;Phoxinus phoxinus;SE;TRUE
002-1756-R;Vinsteråni;River;NA;2.11;Phoxinus phoxinus;SE;TRUE
002-175-L;Rambergsjøen;Lake;3.137;NA;Phoxinus phoxinus;SE;TRUE
002-176-L;Håsjøen;Lake;2.622;NA;Phoxinus phoxinus;SE;TRUE
002-177-L;Røragen;Lake;1.345;NA;Phoxinus phoxinus;SE;TRUE
002-1820-R;Kongelstadelven, sidebekker;River;NA;8.41;Phoxinus phoxinus;SE;TRUE
002-1822-R;Hunnselva, Breiskallen til Korta;River;NA;3.71;Esox lucius;SE;TRUE
002-1822-R;Hunnselva, Breiskallen til Korta;River;NA;3.71;Elodea canadensis;SE;FALSE
002-1822-R;Hunnselva, Breiskallen til Korta;River;NA;3.71;Phoxinus phoxinus;SE;TRUE
002-1823-R;Konglestadelva;River;NA;5.62;Phoxinus phoxinus;SE;TRUE
002-183-L;Hyllingen;Lake;2.535;NA;Phoxinus phoxinus;SE;TRUE
002-1842-R;Folla Avsjøen - Strypbekken;River;NA;7.97;Phoxinus phoxinus;SE;TRUE
002-184-L;Råsjøen;Lake;0.885;NA;Phoxinus phoxinus;SE;TRUE
002-186-L;Våja;Lake;3.201;NA;Phoxinus phoxinus;SE;TRUE
002-187-L;Vassbråa;Lake;2.569;NA;Phoxinus phoxinus;SE;TRUE
002-188-L;Skrukkelisjøen;Lake;1.763;NA;Phoxinus phoxinus;SE;TRUE
002-193-L;Geitholmsjøen;Lake;0.614;NA;Esox lucius;SE;TRUE
002-193-L;Geitholmsjøen;Lake;0.614;NA;Rutilus rutilus;HI;TRUE
002-194-L;Brumundsjøen;Lake;1.675;NA;Phoxinus phoxinus;SE;TRUE
002-195-L;Skumsjøen;Lake;1.841;NA;Phoxinus phoxinus;SE;TRUE
002-196556-L;Muttatjernet;Lake;0.035;NA;Esox lucius;SE;TRUE
002-196-L;Næra;Lake;9.453;NA;Phoxinus phoxinus;SE;TRUE
002-197-L;Ringsjøen;Lake;1.243;NA;Phoxinus phoxinus;SE;TRUE
002-198445-L;Sogna;Lake;0.014;NA;Carassius auratus;HI;FALSE
002-198-L;Sør-Mesna;Lake;6.93;NA;Esox lucius;SE;TRUE
002-199-L;Øvre Ropptjørnet;Lake;1.231;NA;Phoxinus phoxinus;SE;TRUE
002-200-L;Hornsjøen;Lake;3.303;NA;Phoxinus phoxinus;SE;TRUE
002-201-L;Bennsjøen;Lake;0.944;NA;Phoxinus phoxinus;SE;TRUE
002-202-L;Ongsjøen, nedre;Lake;1.482;NA;Phoxinus phoxinus;SE;TRUE
002-2030-R;Muru, kanalisert;River;NA;1.53;Phoxinus phoxinus;SE;TRUE
002-2034-R;Muru ned til Meringsdalvatnet;River;NA;4.9;Phoxinus phoxinus;SE;TRUE
002-2035-R;Muru fra Meringsdalvatnet ned til Sjoa;River;NA;2.44;Phoxinus phoxinus;SE;TRUE
002-203-L;Grunnvatnet;Lake;0.54;NA;Phoxinus phoxinus;SE;TRUE
002-204-L;Djupen;Lake;0.736;NA;Phoxinus phoxinus;SE;TRUE
002-205-L;Vendalsvatn;Lake;1.068;NA;Phoxinus phoxinus;SE;TRUE
002-2061-R;Muru nedenfor Murudalsvatnet;River;NA;5.62;Phoxinus phoxinus;SE;TRUE
002-2065-R;Muru, sidebekker;River;NA;79.09;Phoxinus phoxinus;SE;TRUE
002-206-L;Flaksjøen;Lake;1.426;NA;Phoxinus phoxinus;SE;TRUE
002-207-L;Furusjøen;Lake;5.273;NA;Phoxinus phoxinus;SE;TRUE
002-2083-R;Sula;River;NA;8.48;Phoxinus phoxinus;SE;TRUE
002-2085-R;Sula, nedre;River;NA;4;Phoxinus phoxinus;SE;TRUE
002-2086-R;Sula, sidebekker;River;NA;39.62;Phoxinus phoxinus;SE;TRUE
002-2087-R;Bosåa;River;NA;9.38;Phoxinus phoxinus;SE;TRUE
002-2089-R;Jorda, øvre deler;River;NA;5.04;Phoxinus phoxinus;SE;TRUE
002-208-L;Gompen;Lake;0.693;NA;Phoxinus phoxinus;SE;TRUE
002-2091-R;Jorda, bekkefelt;River;NA;31.48;Phoxinus phoxinus;SE;TRUE
002-2093-R;Jorda nedre del;River;NA;2.15;Phoxinus phoxinus;SE;TRUE
002-2094-R;Tjønnåa og Veikleåa, sidebekker;River;NA;65.26;Phoxinus phoxinus;SE;TRUE
002-2095-R;Glitra nedre;River;NA;5.24;Phoxinus phoxinus;SE;TRUE
002-2096-R;Furusjøen og Vålåsjøen, sidebekker;River;NA;30.54;Phoxinus phoxinus;SE;TRUE
002-2099-R;Veikleåa;River;NA;1.36;Phoxinus phoxinus;SE;TRUE
002-209-L;Gålån;Lake;3.021;NA;Phoxinus phoxinus;SE;TRUE
002-2103-R;Tjønnåa og Veikleåa;River;NA;14.05;Phoxinus phoxinus;SE;TRUE
002-210-L;Olstappen;Lake;3.196;NA;Phoxinus phoxinus;SE;TRUE
002-2117-R;Skåltjørna;River;NA;NA;Phoxinus phoxinus;SE;TRUE
002-211-L;Nedre Heimdalsvatnet;Lake;7.254;NA;Phoxinus phoxinus;SE;TRUE
002-2122-R;Sikkilsdalsåa;River;NA;13.87;Phoxinus phoxinus;SE;TRUE
002-2124-R;Sikkilsdalselva, sidebekker;River;NA;42.62;Phoxinus phoxinus;SE;TRUE
002-212-L;Øyangen;Lake;4.219;NA;Phoxinus phoxinus;SE;TRUE
002-2134-R;Loni, sidebekker;River;NA;24.58;Phoxinus phoxinus;SE;TRUE
002-2136-R;Flekka;River;NA;14.43;Phoxinus phoxinus;SE;TRUE
002-2142-R;Muru og sidebekker;River;NA;25.9;Phoxinus phoxinus;SE;TRUE
002-2143-R;Ingulssjøen bekkefelt;River;NA;16.52;Phoxinus phoxinus;SE;TRUE
002-2146-R;Hølsa;River;NA;6.49;Phoxinus phoxinus;SE;TRUE
002-2152-R;Hinøgla nedre del;River;NA;7.14;Phoxinus phoxinus;SE;TRUE
002-2158-R;Øyangen, bekkefelt til;River;NA;40.72;Phoxinus phoxinus;SE;TRUE
002-2163-R;Vinstra mellom Hersjøen og Olstappen;River;NA;18.6;Phoxinus phoxinus;SE;TRUE
002-2179-R;Fagerlivatnet, inløpselver;River;NA;34.98;Phoxinus phoxinus;SE;TRUE
002-217-L;Flatningen;Lake;2.383;NA;Phoxinus phoxinus;SE;TRUE
002-2195-R;Gålåa ned til inntak;River;NA;3.79;Phoxinus phoxinus;SE;TRUE
002-2199-R;Valsvatnet;River;NA;8.33;Phoxinus phoxinus;SE;TRUE
002-219-L;Nedre Sjodalsvatnet;Lake;2.59;NA;Phoxinus phoxinus;SE;TRUE
002-2200-R;Feforvatnet, sidebekker og Feforbekken;River;NA;6.42;Phoxinus phoxinus;SE;TRUE
002-2201-R; Gålåa, sidebekker;River;NA;13.22;Phoxinus phoxinus;SE;TRUE
002-2206-R;Givra;River;NA;5.78;Phoxinus phoxinus;SE;TRUE
002-220-L;Øvre Sjodalsvatnet;Lake;4.776;NA;Phoxinus phoxinus;SE;TRUE
002-2214-R;Atnsjøen, tilløpselver;River;NA;89.45;Phoxinus phoxinus;SE;TRUE
002-2215-R;Tilløpsvassdrag Atnsjøen og Atna (Moen - Trøbua);River;NA;100.34;Phoxinus phoxinus;SE;TRUE
002-2223-R;Frya, nedenstrøms Furusjøen;River;NA;16.51;Phoxinus phoxinus;SE;TRUE
002-2227-R;Fisken;River;NA;30.97;Phoxinus phoxinus;SE;TRUE
002-2231-R;Vulua, øvre deler;River;NA;204.13;Phoxinus phoxinus;SE;TRUE
002-2236-R;Vulua, ned;River;NA;9.3;Phoxinus phoxinus;SE;TRUE
002-2250-R;Espedalsvatnet og Breisjøen, sidebekker vestsiden;River;NA;66.12;Phoxinus phoxinus;SE;TRUE
002-2272-R;Børka;River;NA;9.31;Phoxinus phoxinus;SE;TRUE
002-2276-R;Fagerhøi Bennsjøen;River;NA;11.19;Phoxinus phoxinus;SE;TRUE
002-2277-R;Bennsjøen, sideelver;River;NA;29.74;Phoxinus phoxinus;SE;TRUE
002-2278-R;Vendalsvatnet, sidebekker;River;NA;31.52;Phoxinus phoxinus;SE;TRUE
002-2283-R;Nedbørfelt Skjervungen;River;NA;64.79;Phoxinus phoxinus;SE;TRUE
002-2288-R;Lebba, sidebekker;River;NA;10.03;Phoxinus phoxinus;SE;TRUE
002-2290-R;Fossåa nedre deler;River;NA;2.65;Phoxinus phoxinus;SE;TRUE
002-2292-R;Steinåa;River;NA;20.75;Phoxinus phoxinus;SE;TRUE
002-2294-R;Fossåa øvre deler, sidebekker;River;NA;10.41;Phoxinus phoxinus;SE;TRUE
002-2298-R;Fossåa øvre deler;River;NA;8.17;Phoxinus phoxinus;SE;TRUE
002-2299-R;Fossåa nedre deler, sidebekker;River;NA;2.2;Phoxinus phoxinus;SE;TRUE
002-2300-R;Gumpen, tilløpselver;River;NA;6.65;Phoxinus phoxinus;SE;TRUE
